靡ㄩ絏,るら,Μ絃基(じ),Θユ秖(),Θユ(じ),秅锣瞯,瑈硄计(),カ(κ窾じ),TSE 玻穨,カ
3711 らるщ北,2026/9/8,618,"13,336","8,220,755",0.2973,"4,485,648","2,772,130",24,TSE
2345 醇ü,2026/9/8,"1,955","6,441","12,850,208",1.1479,"561,118","1,096,985",27,TSE
6669 絥縪,2026/9/8,"2,340","5,080","12,065,729",0.9085,"559,135","1,308,376",25,TSE
2059 打,2026/9/8,"12,520","1,284","16,662,072",1.3474,"95,297","1,193,119",28,TSE
3008 ミ,2026/9/8,"6,500","1,975","12,757,771",1.51,"130,798","850,188",26,TSE
2379 风琑,2026/9/8,692,"4,835","3,365,561",0.9379,"515,513","356,735",24,TSE
2330 縩筿,2026/9/7,"2,460","26,898","65,839,464",0.1037,"25,932,370","63,793,630",24,TSE
2454 羛祇,2026/9/7,"4,760","17,178","81,193,340",1.0703,"1,604,953","7,639,574",24,TSE
3034 羛碟,2026/9/7,540,"2,295","1,228,887",0.3772,"608,511","328,596",24,TSE
2308 笷筿,2026/9/7,"1,850","7,560","14,006,610",0.291,"2,597,543","4,805,455",28,TSE
3711 らるщ北,2026/9/7,621,"27,604","17,064,702",0.6154,"4,485,648","2,785,587",24,TSE
2345 醇ü,2026/9/7,"2,100","2,076","4,403,329",0.37,"561,118","1,178,348",27,TSE
6669 絥縪,2026/9/7,"2,490","5,526","13,654,829",0.9883,"559,135","1,392,246",25,TSE
2059 打,2026/9/7,"13,905",300,"4,187,926",0.3148,"95,297","1,325,106",28,TSE
3008 ミ,2026/9/7,"6,660","2,481","16,991,991",1.8968,"130,798","871,116",26,TSE
2379 风琑,2026/9/7,703.9997,"2,781","2,011,804",0.5395,"515,513","375,809",24,TSE
2330 縩筿,2026/9/4,"2,410","14,102","33,917,316",0.0544,"25,932,370","62,497,012",24,TSE
2454 羛祇,2026/9/4,"4,415","9,051","39,901,626",0.5639,"1,604,953","7,085,866",24,TSE
3034 羛碟,2026/9/4,524,"2,053","1,072,929",0.3374,"608,511","318,860",24,TSE
2308 笷筿,2026/9/4,"1,825","9,195","16,707,356",0.354,"2,597,543","4,740,517",28,TSE
3711 らるщ北,2026/9/4,588,"15,751","9,245,301",0.3511,"4,485,648","2,637,561",24,TSE
2345 醇ü,2026/9/4,"2,100","2,163","4,571,878",0.3855,"561,118","1,178,348",27,TSE
6669 絥縪,2026/9/4,"2,565","4,361","10,980,517",0.78,"559,135","1,434,181",25,TSE
2059 打,2026/9/4,"13,860",476,"6,485,707",0.4995,"95,297","1,320,817",28,TSE
3008 ミ,2026/9/4,"7,400","1,626","11,572,708",1.2431,"130,798","967,907",26,TSE
2379 风琑,2026/9/4,688.5484,"1,403","1,003,024",0.2722,"515,513","367,561",24,TSE
2330 縩筿,2026/9/3,"2,390","14,252","34,060,580",0.055,"25,932,370","61,978,364",24,TSE
2454 羛祇,2026/9/3,"4,340","9,510","41,479,171",0.5925,"1,604,953","6,965,494",24,TSE
3034 羛碟,2026/9/3,527,"2,612","1,392,383",0.4292,"608,511","320,686",24,TSE
2308 笷筿,2026/9/3,"1,760","10,346","18,306,270",0.3983,"2,597,543","4,571,676",28,TSE
3711 らるщ北,2026/9/3,589,"11,637","6,921,581",0.2594,"4,485,648","2,642,047",24,TSE
2345 醇ü,2026/9/3,"2,090","2,730","5,790,070",0.4865,"561,118","1,172,736",27,TSE
6669 絥縪,2026/9/3,"2,475","5,153","13,216,685",0.9216,"559,135","1,383,859",25,TSE
2059 打,2026/9/3,"13,450",651,"8,978,890",0.6831,"95,297","1,281,746",28,TSE
3008 ミ,2026/9/3,"7,150","1,688","12,410,329",1.2905,"130,798","935,207",26,TSE
2379 风琑,2026/9/3,682.7541,"2,920","2,100,846",0.5664,"515,513","364,467",24,TSE
2330 縩筿,2026/9/2,"2,385","25,151","60,261,105",0.097,"25,932,370","61,848,703",24,TSE
2454 羛祇,2026/9/2,"4,275","23,567","103,733,406",1.4684,"1,604,953","6,861,172",24,TSE
3034 羛碟,2026/9/2,543,"3,294","1,807,620",0.5413,"608,511","330,422",24,TSE
2308 笷筿,2026/9/2,"1,730","15,977","28,173,543",0.6151,"2,597,543","4,493,750",28,TSE
3711 らるщ北,2026/9/2,589,"17,467","10,345,914",0.3894,"4,485,648","2,642,047",24,TSE
2345 醇ü,2026/9/2,"2,140","3,470","7,445,083",0.6184,"561,118","1,200,792",27,TSE
6669 絥縪,2026/9/2,"2,610","10,869","29,110,975",1.9439,"559,135","1,459,342",25,TSE
2059 打,2026/9/2,"13,865",439,"6,096,365",0.4607,"95,297","1,321,294",28,TSE
3008 ミ,2026/9/2,"7,810","2,294","17,860,011",1.7538,"130,798","1,021,534",26,TSE
2379 风琑,2026/9/2,718.4853,"2,825","2,110,484",0.548,"515,513","383,541",24,TSE
2330 縩筿,2026/9/1,"2,440","31,855","77,463,413",0.1228,"25,932,370","63,274,983",24,TSE
2454 羛祇,2026/9/1,"4,315","4,931","21,280,078",0.3072,"1,604,953","6,925,371",24,TSE
3034 羛碟,2026/9/1,552,"4,462","2,446,837",0.7333,"608,511","335,898",24,TSE
2308 笷筿,2026/9/1,"1,865","8,434","15,622,871",0.3247,"2,597,543","4,844,418",28,TSE
3711 らるщ北,2026/9/1,610,"26,066","15,754,421",0.5811,"4,485,648","2,736,245",24,TSE
2345 醇ü,2026/9/1,"2,205","5,313","11,473,309",0.9469,"561,118","1,237,265",27,TSE
6669 絥縪,2026/9/1,"2,614.99","2,855","21,640,964",1.523,"187,453","1,462,136",25,TSE
2059 打,2026/9/1,"14,150",341,"4,899,509",0.3578,"95,297","1,348,454",28,TSE
3008 ミ,2026/9/1,"7,580","3,399","26,312,957",2.5987,"130,798","991,450",26,TSE
2379 风琑,2026/9/1,718.4853,"2,713","2,015,992",0.5263,"515,513","383,541",24,TSE
